family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
random_planar,6,36,20,1,5,"(25, 26)",2.000240388654411,0.6899963296097493,32,11,2.909090909090909,1,0,True,4,7,0,0,1
random_planar,8,64,28,0,0,"(34, 41)",0.9150103717864905,0.47562852370244335,68,17,4.0,1,0,True,8,12,0,0,1
random_planar,8,64,28,0,1,"(41, 56)",1.0212577627118058,0.27167841306810453,80,14,5.714285714285714,1,0,True,4,12,0,0,1
random_planar,8,64,28,0,2,"(47, 56)",1.8608134521845976,0.7369737315227032,62,12,5.166666666666667,1,0,True,6,12,0,0,1
random_planar,8,64,28,0,3,"(37, 61)",0.8114340502350159,0.6296325385935436,88,16,5.5,1,0,True,5,16,0,0,1
random_planar,8,64,28,0,4,"(47, 55)",1.2867567626878567,0.4223738289337588,56,13,4.3076923076923075,1,0,True,5,11,0,0,1
random_planar,8,64,28,0,5,"(57, 60)",1.2952416945528027,1.1987587521428447,72,14,5.142857142857143,1,0,True,7,12,0,0,1
random_planar,8,64,28,1,0,"(39, 63)",1.04181278390388,0.8743138296022002,104,23,4.521739130434782,1,0,True,11,16,0,0,1
random_planar,8,64,28,1,1,"(34, 59)",0.7779714270923266,0.22221889077957785,70,21,3.3333333333333335,1,0,True,12,13,0,0,1
random_planar,8,64,28,1,2,"(47, 7)",1.1457630852555518,0.783804232187401,40,21,1.9047619047619047,1,0,True,2,1,0,0,1
random_planar,8,64,28,1,3,"(32, 9)",0.7790783769131512,0.5461352220067368,80,19,4.2105263157894735,1,0,True,6,11,0,0,1
random_planar,8,64,28,1,4,"(39, 63)",1.9161266135060802,1.2223458900602615,68,19,3.5789473684210527,1,0,True,8,8,0,0,1
random_planar,8,64,28,1,5,"(12, 32)",1.3219191790196547,0.8642401108576907,40,10,4.0,1,0,True,6,9,0,0,0
random_planar,10,100,36,0,0,"(77, 89)",1.0970736904843816,0.43487205125301753,56,11,5.090909090909091,1,0,True,4,11,0,0,0
random_planar,10,100,36,0,1,"(39, 47)",1.4856026085459537,1.2577696916211705,60,19,3.1578947368421053,1,0,True,4,2,0,0,1
random_planar,10,100,36,0,2,"(31, 61)",0.9486237811960735,0.9461153101020027,66,34,1.9411764705882353,1,0,True,2,1,0,0,1
random_planar,10,100,36,0,3,"(62, 83)",0.7509626456153142,0.2693591784077755,200,31,6.451612903225806,1,0,True,15,23,0,0,1
random_planar,10,100,36,0,4,"(45, 87)",1.7939199924098792,1.1997016037840695,70,20,3.5,1,0,True,8,10,0,0,1
random_planar,10,100,36,0,5,"(39, 59)",0.8114340502350159,0.7597742737431217,204,32,6.375,1,0,True,16,29,0,0,1
